gamma,interval
0.01001,3.8849999999964666
0.01001,3.889999999996462
0.01001,3.889999999996462
0.01001,3.8849999999964666
0.01001,3.8849999999964666
0.01001,3.889999999996462
0.01001,3.889999999996462
0.01001,3.8849999999964666
0.01001,3.8849999999964666
0.01001,3.889999999996462
0.01001,3.889999999996462
0.01001,3.889999999996462
0.01001,3.889999999996462
0.01001,3.889999999996462
0.01001,3.8849999999964666
0.01001,3.8849999999964666
0.01001,3.889999999996462
0.01001,3.889999999996462
0.01001,3.8849999999964666
0.01001,3.889999999996462
0.01001,3.8849999999964666
0.01001,3.889999999996462
0.01001,3.889999999996462
0.01001,3.889999999996462
0.01001,3.889999999996462
0.01001,3.8849999999964666
0.01001,3.8849999999964666
0.01001,3.889999999996462
0.01001,3.889999999996462
0.01001,3.8849999999964666
0.01001,3.8849999999964666
0.01001,3.889999999996462
0.01001,3.889999999996462
0.01001,3.889999999996462
0.01001,3.8849999999964666
0.01001,3.889999999996462
0.01001,3.8849999999964666
0.01001,3.889999999996462
0.01001,3.889999999996462
0.01001,3.8849999999964666
0.01001,3.8849999999964666
0.01001,3.889999999996462
0.01001,3.889999999996462
0.01001,3.8849999999964666
0.01001,3.8849999999964666
0.01001,3.889999999996462
0.01001,3.889999999996462
0.01001,3.889999999996462
0.01001,3.8849999999964666
0.01001,3.8849999999964666
0.01001,3.889999999996462
0.01001,3.889999999996462
0.01001,3.8849999999964666
0.01001,3.889999999996462
0.01001,3.8849999999964666
0.01001,3.889999999996462
0.01001,3.889999999996462
0.01001,3.8849999999964666
0.01001,3.8849999999964666
0.01001,3.8849999999964666
0.01001,3.889999999996462
0.01001,3.889999999996462
0.01001,3.8849999999964666
0.01001,3.889999999996462
0.01001,3.8849999999964666
0.01001,3.889999999996462
0.01001,3.889999999996462
0.01001,3.8849999999964666
0.01001,3.8849999999964666
0.01001,3.8849999999964666
0.01001,3.8849999999964666
0.01001,3.889999999996462
0.01001,3.889999999996462
0.01001,3.889999999996462
0.01001,3.8849999999964666
0.01001,3.8849999999964666
0.01001,3.889999999996462
0.01001,3.889999999996462
0.01001,3.8849999999964666
0.01001,3.8849999999964666
0.01001,3.8849999999964666
0.01001,3.889999999996462
0.01001,3.889999999996462
0.01001,3.8849999999964666
0.01001,3.8849999999964666
0.01001,3.889999999996462
0.01001,3.889999999996462
0.01001,3.8849999999964666
0.01001,3.889999999996462
0.01001,3.8849999999964666
0.01001,3.889999999996462
0.01001,3.889999999996462
0.01001,3.889999999996462
0.01001,3.8849999999964666
0.01001,3.8849999999964666
0.01001,3.889999999996462
0.01001,3.889999999996462
0.01001,3.8849999999964666
0.01001,3.889999999996462
0.01001,3.8849999999964666
0.01001,3.889999999996462
0.01001,3.889999999996462
0.01001,3.8849999999964666
0.01001,3.889999999996462
0.01001,3.889999999996462
0.01001,3.8849999999964666
0.01001,3.8849999999964666
0.01001,3.889999999996462
0.01001,3.889999999996462
0.01001,3.8849999999964666
0.01001,3.8849999999964666
0.01001,3.889999999996462
0.01001,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.8949999999964575
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.8949999999964575
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.8949999999964575
0.01051,3.889999999996462
0.01051,3.8849999999964666
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.8949999999964575
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.8949999999964575
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.8949999999964575
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01051,3.889999999996462
0.01101,3.899999999996453
0.01101,3.889999999996462
0.01101,3.889999999996462
0.01101,3.8949999999964575
0.01101,3.8949999999964575
0.01101,3.889999999996462
0.01101,3.8949999999964575
0.01101,3.8949999999964575
0.01101,3.889999999996462
0.01101,3.889999999996462
0.01101,3.8949999999964575
0.01101,3.8949999999964575
0.01101,3.889999999996462
0.01101,3.899999999996453
0.01101,3.889999999996462
0.01101,3.889999999996462
0.01101,3.8949999999964575
0.01101,3.8949999999964575
0.01101,3.889999999996462
0.01101,3.889999999996462
0.01101,3.8949999999964575
0.01101,3.8949999999964575
0.01101,3.889999999996462
0.01101,3.8949999999964575
0.01101,3.889999999996462
0.01101,3.889999999996462
0.01101,3.899999999996453
0.01101,3.889999999996462
0.01101,3.889999999996462
0.01101,3.8949999999964575
0.01101,3.8949999999964575
0.01101,3.889999999996462
0.01101,3.889999999996462
0.01101,3.899999999996453
0.01101,3.889999999996462
0.01101,3.889999999996462
0.01101,3.8949999999964575
0.01101,3.8949999999964575
0.01101,3.889999999996462
0.01101,3.889999999996462
0.01101,3.8949999999964575
0.01101,3.8949999999964575
0.01101,3.889999999996462
0.01101,3.8949999999964575
0.01101,3.8949999999964575
0.01101,3.889999999996462
0.01101,3.889999999996462
0.01101,3.8949999999964575
0.01101,3.8949999999964575
0.01101,3.8949999999964575
0.01101,3.889999999996462
0.01101,3.889999999996462
0.01101,3.8949999999964575
0.01101,3.8949999999964575
0.01101,3.889999999996462
0.01101,3.8949999999964575
0.01101,3.8949999999964575
0.01101,3.889999999996462
0.01101,3.889999999996462
0.01101,3.8949999999964575
0.01101,3.8949999999964575
0.01101,3.8949999999964575
0.01101,3.889999999996462
0.01101,3.889999999996462
0.01101,3.8949999999964575
0.01101,3.8949999999964575
